---|ARABIC|---	^-
Starz Encore Western HD	00!0!1/50496
Starz Encore Suspense HD	00!0!1/50497
Starz Encore ʜᴅ	00!0!1/50498
Starz Family HD	00!0!1/50500
Starz Encore Classic HD	00!0!1/50501
Starz Encore Action ꜰʜᴅ 1080P	00!0!1/50503
Starz Edge HD	00!0!1/50504
Starz East ʜᴅ	00!0!1/50505
Starz Comedy HD	00!0!1/50506
Starz Cinema ʜᴅ	00!0!1/50508
Showtime West HD	00!0!1/50509
Showtime HD	00!0!1/50510
Showtime East HD	00!0!1/50511
MovieMax HD	00!0!1/50515
IndiePlex HD	00!0!1/50517
HBO	00!0!1/50518
HBO 2	00!0!1/50519
HBO FAMILY	00!0!1/50520
HBO PLUS	00!0!1/50521
HBO SIGNATURE	00!0!1/50522
Star Series	00!0!1/50530
Cinecanal	00!0!1/50531
Star Channel	00!0!1/50533
Star Action	00!0!1/50534
Star Cinema	00!0!1/50535
Star Hits	00!0!1/50538
FX	00!0!1/50539
WSBK	00!0!1/50579
World Fishing Network HD	00!0!1/50580
Willow Cricket	00!0!1/50582
WGN	00!0!1/50583
Weather Channel	00!0!1/50584
WE TV HD	00!0!1/50585
WBFS Miami	00!0!1/50586
Viceland HD	00!0!1/50587
USA Network HD	00!0!1/50588
Universal Kids HD	00!0!1/50589
TV Land	00!0!1/50591
Tru TV HD	00!0!1/50592
Tru TV	00!0!1/50593
Travel Channel HD	00!0!1/50594
TNT HD	00!0!1/50595
TNT	00!0!1/50596
TLC	00!0!1/50597
A&E HD	00!0!1/50599
ABC	00!0!1/50600
Action Max	00!0!1/50601
AMC	00!0!1/50602
CMT	00!0!1/50603
Animal Planet	00!0!1/50605
Comedy Central	00!0!1/50606
Destination America	00!0!1/50607
MTV LIVE HD	00!0!1/50608
MTV FHD	00!0!1/50609
Comet	00!0!1/50610
Discovery Life	00!0!1/50611
Logo	00!0!1/50613
Paramount	00!0!1/50614
TCM	00!0!1/50615
Fox Soccer Plus	00!0!1/50616
Bet Her	00!0!1/50617
Bet Jams	00!0!1/50618
Bet Soul	00!0!1/50619
MTV 2	00!0!1/50620
MTV Classic	00!0!1/50621
MTV Live	00!0!1/50622
MTV U	00!0!1/50623
Boomerang	00!0!1/50624
Nick Music	00!0!1/50625
Teen Nick	00!0!1/50626
Mega Tv	00!0!1/50857
Telemundo	00!0!1/50859
Univision	00!0!1/50860
Wapa	00!0!1/50861
Wapa 2	00!0!1/50862
WILLAX HD (E)	00!0!1/50999
TELEMETRO 13 SD	00!0!1/51072
CABLEONDA SPORTS FC	00!0!1/51074
COS FC	00!0!1/51076
AZ CLIC	00!0!1/51106
AZ MUNDO FHD	00!0!1/51108
AZTECA 7 HD	00!0!1/51110
CANAL 5	00!0!1/51115
CANAL 5 FHD OPC 2	00!0!1/51118
IMAGEN HD	00!0!1/51128
LAS ESTRELLAS FHD	00!0!1/51131
LAS ESTRELLAS ʜᴅ	00!0!1/51132
LAS ESTRELLAS ꜱᴅ	00!0!1/51133
TELEVISA	00!0!1/51138
TUDN MX	00!0!1/51139
A3 Series	00!0!1/51198
ADN40	00!0!1/51199
Al Jazeera	00!0!1/51200
AMC	00!0!1/51201
Antena 3 Int	00!0!1/51202
AXN	00!0!1/51203
Aym Sports	00!0!1/51204
Las Estrellas	00!0!1/51206
Comedy Central	00!0!1/51207
De Pelicula	00!0!1/51208
De Pelicula Plus	00!0!1/51209
Distrito Comedia	00!0!1/51210
DW	00!0!1/51211
E! Entertainment	00!0!1/51212
El Gourmet	00!0!1/51213
Europa Europa	00!0!1/51214
Film & Arts	00!0!1/51215
Food Network	00!0!1/51216
Tele Formula	00!0!1/51217
Foro TV	00!0!1/51218
Star Channel	00!0!1/51219
France 24	00!0!1/51220
FX	00!0!1/51221
FXM	00!0!1/51222
Garage TV	00!0!1/51223
Golden	00!0!1/51225
Golden Edge	00!0!1/51226
Golden Plus	00!0!1/51227
History Channel	00!0!1/51228
HLN	00!0!1/51229
Hola TV	00!0!1/51230
Imagen TV	00!0!1/51231
I.sat	00!0!1/51232
Maschic	00!0!1/51233
Mexiquense	00!0!1/51234
Natgeo	00!0!1/51236
NBC Golf	00!0!1/51237
Paramount Channel	00!0!1/51239
RMS	00!0!1/51240
Sony	00!0!1/51243
Space	00!0!1/51244
Star TVE	00!0!1/51245
Universal Channel	00!0!1/51246
Studio Universal	00!0!1/51247
SyFy	00!0!1/51248
TCM	00!0!1/51250
TUDN	00!0!1/51251
Tlnovelas	00!0!1/51252
TLC	00!0!1/51253
TLR	00!0!1/51254
TNT	00!0!1/51255
TNT Series	00!0!1/51256
TruTV	00!0!1/51257
TV Mas	00!0!1/51258
TVE	00!0!1/51259
TVC Deportes	00!0!1/51260
TVC	00!0!1/51261
Canal U	00!0!1/51262
Warner Channel	00!0!1/51263
ESPN	00!0!1/51265
ESPN 2	00!0!1/51266
ESPN News	00!0!1/51267
ESPN U	00!0!1/51268
ESPN UHD	00!0!1/51269
MLB Network	00!0!1/51270
NBA TV HD	00!0!1/51272
SPORTSNET SOUTHWEST HD	00!0!1/51273
UFC TV HD	00!0!1/51274
Fox Sports 1 HD	00!0!1/51276
Fox Sports 2 HD	00!0!1/51277
Bally Sports Sun South Florida	00!0!1/51278
BALLY SPORTS DETROIT HD	00!0!1/51282
Fox Sports FS1	00!0!1/51284
BALLY SPORTS FLORIDA HD	00!0!1/51285
BALLY SPORTS INDIANA HD	00!0!1/51286
Fox Sports Kansas	00!0!1/51287
BALLY SPORTS SOUTHEAST HD	00!0!1/51291
BALLY SPORTS SOUTHWEST HD	00!0!1/51292
Fox Sports Tampa	00!0!1/51293
BALLY SPORTS WEST HD	00!0!1/51294
Olympic Channel HD	00!0!1/51296
Fightnet HD	00!0!1/51298
Golf Channel HD	00!0!1/51299
BEIN SPORT HD	00!0!1/51301
SPORTSNET 360	00!0!1/51302
SPORTSNET New York HD	00!0!1/51303
SPECTRUM SPORTSNET LA DODGERS	00!0!1/51304
SPORTSNET WORLD	00!0!1/51305
AT&T SPORTSNET SOUTHWEST HD	00!0!1/51306
Bein 3	00!0!1/51308
BeIN SPORTS 5 HD	00!0!1/51310
BeIN SPORTS 6 HD	00!0!1/51311
NFL Network HD	00!0!1/51312
NFL Redzone HD	00!0!1/51313
NHL Network	00!0!1/51314
Sportsman HD	00!0!1/51315
Sportsnet NY	00!0!1/51316
Stadium	00!0!1/51317
Stadium 2	00!0!1/51318
Stadium 3	00!0!1/51319
Epix 2	00!0!1/51323
ESPN HD	00!0!1/51324
ESPN 2 HD	00!0!1/51325
ESPN 3 HD	00!0!1/51326
ESPN + HD	00!0!1/51327
ESPN U ʜᴅ	00!0!1/51328
Adrenalina Sports Network	00!0!1/51330
Fox Sports HD	00!0!1/51331
Fox Sports 2 HD	00!0!1/51332
Fox Sports 3 HD	00!0!1/51333
WIN SPORTS	00!0!1/51335
TNT SPORTS	00!0!1/51339
TIGO PARAGUAY1	00!0!1/51340
TIGO PARAGUAY2	00!0!1/51341
SPORTS RED BULL TV	00!0!1/51343
BabyFirst HD	00!0!1/51347
Disney Channel HD	00!0!1/51348
Cartoon Network HD	00!0!1/51349
Discovery Kids HD	00!0!1/51350
Disney Junior HD	00!0!1/51351
Disney XD HD	00!0!1/51352
Nick 2 HD	00!0!1/51353
Nick HD	00!0!1/51355
Nicktoons	00!0!1/51356
Tooncast	00!0!1/51357
Nat Geo Kids HD	00!0!1/51358
Discovery Channel HD	00!0!1/51944
DISCOVERY CHANNEL 4K	00!0!1/51945
Discovery Investigation HD	00!0!1/51946
DISCOVERY ID 4K	00!0!1/51947
DISCOVERY CIVILIZATION 4K	00!0!1/51949
Discovery H&H HD	00!0!1/51950
Discovery Science	00!0!1/51952
Discovery Theater HD	00!0!1/51954
DISCOVERY THEATER 4K	00!0!1/51955
Discovery Turbo HD	00!0!1/51956
DISCOVERY TURBO 4K	00!0!1/51957
DISCOVERY WORLD	00!0!1/51959
13 C	00!0!1/52223
ANIMAL PLANET SD	00!0!1/52225
BABY FIRST SD	00!0!1/52227
BBC ENTERTAINMENT	00!0!1/52228
BBC WORLD	00!0!1/52229
BOOMERANG SD	00!0!1/52230
CANAL DE LAS ESTRELLAS	00!0!1/52231
HGTV	00!0!1/52232
A&E	00!0!1/52096
AMC	00!0!1/52098
CINECANAL	00!0!1/52099
EUROCHANNEL	00!0!1/52101
EUROPA EUROPA	00!0!1/52102
FX	00!0!1/52103
FXM	00!0!1/52104
Star Channel	00!0!1/52105
Star ACTION	00!0!1/52106
Universal CINEMA	00!0!1/52107
Universal Crime	00!0!1/52108
Star Hits	00!0!1/52110
Universal Premiere	00!0!1/52111
HBO	00!0!1/52112
HBO 2	00!0!1/52113
HBO FAMILY	00!0!1/52114
MAX	00!0!1/52115
HBO PLUS	00!0!1/52116
HBO SIGNATURE	00!0!1/52118
I.SAT	00!0!1/52120
PARAMOUNT	00!0!1/52121
SONY	00!0!1/52123
SPACE	00!0!1/52124
STUDIO UNIVERSAL	00!0!1/52125
SYFY	00!0!1/52126
TCM	00!0!1/52127
TNT ꜱᴅ	00!0!1/52128
TNT SERIES	00!0!1/52129
UNIVERSAL CHANNEL	00!0!1/52130
WARNER	00!0!1/52131
DISCOVERY CHANNEL	00!0!1/52133
DISCOVERY CIVILIZATION	00!0!1/52134
DISCOVERY SCIENCE	00!0!1/52135
DISCOVERY THEATER	00!0!1/52136
DISCOVERY TURBO	00!0!1/52137
DISCOVERY WORLD	00!0!1/52138
H2	00!0!1/52139
HISTORY	00!0!1/52140
DISCOVERY ID	00!0!1/52141
NATGEO	00!0!1/52142
NATGEO WILD	00!0!1/52143
TLC	00!0!1/52144
GARAGE	00!0!1/52145
ESPN SUR	00!0!1/52146
ESPN 2 SUR	00!0!1/52147
ESPN 3 SUR	00!0!1/52148
ESPN 4 SUR	00!0!1/52149
FOX SPORTS SUR	00!0!1/52150
FOX SPORTS 2 SUR	00!0!1/52151
FOX SPORTS 3 SUR	00!0!1/52152
TNT SPORTS	00!0!1/52156
TYC SPORTS	00!0!1/52157
COMEDY CENTRAL	00!0!1/52158
GOURMET	00!0!1/52159
FILM & ART	00!0!1/52160
FOOD NETWORK	00!0!1/52161
DISCOVERY H&H	00!0!1/52164
LIFETIME	00!0!1/52165
TBS	00!0!1/52167
TRUTV	00!0!1/52168
BABY TV	00!0!1/52169
Cartoonito	00!0!1/52170
CARTOON NETWORK	00!0!1/52171
DISCOVERY KIDS	00!0!1/52172
DISNEY JR	00!0!1/52174
DISNEY XD	00!0!1/52175
NATGEO KIDS	00!0!1/52176
NICKELODEON	00!0!1/52177
TOONCAST	00!0!1/52178
HTV	00!0!1/52179
MTV	00!0!1/52180
MTV HIT	00!0!1/52181
VH1	00!0!1/52182
VH1 MEGAHITS	00!0!1/52183
CNN ESPAÑOL	00!0!1/52184
CNN INTERNACIONAL	00!0!1/52185
FOX NEWS	00!0!1/52186
AMERICA SPORTS	00!0!1/52188
MUCH MUSIC	00!0!1/52190
TELEMUNDO	00!0!1/52191
TVE	00!0!1/52192
RAI italia	00!0!1/52193
AMC SD	00!0!1/52224
Telemundo Orlando HD	00!0!1/59594
Telemundo Miami HD	00!0!1/59596
Univision Miami HD	00!0!1/59597
El Gourmet HD	00!0!1/59598
Estrella TV HD	00!0!1/59599
Novelas Univision HD	00!0!1/59600
Pasiones HD	00!0!1/59601
UNIVISION 21	00!0!1/59602
Galavision HD	00!0!1/59606
Unimas HD	00!0!1/59607
MegaTV HD	00!0!1/59608
NBC Universo HD	00!0!1/59609
Telemundo Boston HD	00!0!1/59610
Telemundo Kansas HD	00!0!1/59611
Telemundo Los Angeles HD	00!0!1/59612
Telemundo Philadelphia HD	00!0!1/59613
Telemundo Washington HD	00!0!1/59614
Telemundo Las Vegas HD	00!0!1/59615
TUDN HD	00!0!1/59616
Univision Chicago HD	00!0!1/59617
Univision Dallas HD	00!0!1/59618
Univision Los Angeles HD	00!0!1/59619
Univision New York HD	00!0!1/59620
Univision Philadelphia HD	00!0!1/59621
Telemundo Chicago HD	00!0!1/59622
Telemundo New York HD	00!0!1/59623
Univision Houston HD	00!0!1/59624
Telemundo Houston HD	00!0!1/59625
MTV Ahora HD	00!0!1/59626
Univision Atlanta HD	00!0!1/59627
Telemundo Atlanta HD	00!0!1/59628
Telemundo New Orleans HD	00!0!1/59629
Telemundo Tampa HD	00!0!1/59630
Telemundo Albuquerque HD	00!0!1/59631
UNIMAS EAST	00!0!1/59632
GALAVISION EAST	00!0!1/59633
GALAVISION WEST	00!0!1/59634
Telemundo Dallas	00!0!1/59635
TELEMUNDO San Francisco Bay HD	00!0!1/59636
UNIVISION SAN FRANCISCO	00!0!1/59637
HBO 2 West HD	00!0!1/59641
HBO COMEDY HD	00!0!1/59642
HBO FAMILY HD	00!0!1/59643
HBO SIGNATURE HD	00!0!1/59644
HDnet Movies HD	00!0!1/59645
HGTV HD	00!0!1/59646
HISTORY CHANNEL	00!0!1/59647
INDIE PLEX	00!0!1/59648
LIFETIME MOVIE NETWORK HD	00!0!1/59649
LONGHORN NETWORK	00!0!1/59650
MAV TV	00!0!1/59651
MOVIE PLEX HD	00!0!1/59652
RETRO PLEX HD	00!0!1/59653
RIDE TV	00!0!1/59654
RT NEWS HD	00!0!1/59655
SHOWTIME 2	00!0!1/59657
SHOXBET	00!0!1/59658
SHOWTIME NEXT	00!0!1/59661
SHOWTIME SHOWCASE	00!0!1/59662
SHOWTIME WOMEN	00!0!1/59663
SMITHSONIAN EAST	00!0!1/59664
SONY MOVIE CHANNEL	00!0!1/59665
SONY MOVIES	00!0!1/59666
STARZ West	00!0!1/59667
STARZ CINEMA HD	00!0!1/59668
STARZ COMEDY HD	00!0!1/59669
STARZ ENCORE WESTERNS	00!0!1/59674
STARZ EAST	00!0!1/59676
MGM+ EAST HD	00!0!1/59677
MGM+ HITS HD	00!0!1/59678
FX HD	00!0!1/59679
FX	00!0!1/59680
FXM HD	00!0!1/59681
FXX HD	00!0!1/59682
GREAT AMERICAN COUNTRY	00!0!1/59683
GREAT AMERICAN COUNTRY SD	00!0!1/59684
🇺🇸 FYI	00!0!1/59685
🇺🇸 FYI SD	00!0!1/59686
Curiosity stream HD	00!0!1/59687
Curiosity stream SD	00!0!1/59688
MOREMAX	00!0!1/59691
OUTERMAX	00!0!1/59692
ThrillerMax	00!0!1/59693
Tennis Channel	00!0!1/64906
NFL Network HD	00!0!1/65769
DAN TV	00!0!1/65951
DAZN	00!0!1/67434
Golf Channel Latino	00!0!1/73231
DIRECTV SPORTS 2 HD	00!0!1/79817
FOX NEWS MIAMI	00!0!1/80221
ABC 10 Miami HD	00!0!1/80222
CBS 4 Miami HD	00!0!1/80223
NBC 6 Miami FL HD	00!0!1/80224
FOX 7 MIAMI	00!0!1/80228
ABC HD	00!0!1/80229
ABC 7 Denver HD	00!0!1/80230
NBC PHOENIX HD	00!0!1/80231
FOX ATLANTA HD	00!0!1/80232
FOX BOSTON HD	00!0!1/80233
FOX BUSINESS NETWORK HD	00!0!1/80234
FOX CHICAGO HD	00!0!1/80235
FOX LOS ANGELES HD	00!0!1/80236
PAC 12 ARIZONA HD	00!0!1/80238
PAC 12 BAY AREA HD	00!0!1/80239
PAC 12 LOS ANGELES HD	00!0!1/80240
PAC 12 MOUNTAIN HD	00!0!1/80241
PAC 12 OREGON HD	00!0!1/80242
NBC HD	00!0!1/80244
ABC 10 San Diego HD	00!0!1/80246
ABC 11 Raleigh HD	00!0!1/80247
ABC 12 San Antonio HD	00!0!1/80249
ABC 13 Houston HD	00!0!1/80250
ABC 15 Phoenix HD	00!0!1/80251
ABC 2 Atlanta HD	00!0!1/80252
ABC 2 Baltimore HD	00!0!1/80253
ABC 2 Portland HD	00!0!1/80254
ABC 28 Tampa bay HD	00!0!1/80255
ABC 30 St. Louis HD	00!0!1/80256
ABC 4 Salt Lake City HD	00!0!1/80257
ABC 4 Seattle HD	00!0!1/80258
ABC 5 Boston HD	00!0!1/80259
ABC 5 St. Paul MN HD	00!0!1/80261
ABC 6 Columbus HD	00!0!1/80262
ABC 6 Philadelphia	00!0!1/80263
ABC 7 Chicago HD	00!0!1/80264
ABC 7 Detroit HD	00!0!1/80265
ABC 7 Los Angeles HD	00!0!1/80266
ABC 7 New York HD	00!0!1/80267
ABC 7 San Francisco HD	00!0!1/80269
ABC 7 Washington DC HD	00!0!1/80270
ABC 8 Dallas HD	00!0!1/80271
ABC 9 Charlotte HD	00!0!1/80273
ABC 9 Orlando HD	00!0!1/80275
CBS 10 Tampa HD	00!0!1/80276
CBS 11 Colorado HD	00!0!1/80277
CBS 12 Cincinnati HD	00!0!1/80278
CBS 13 Baltimore HD	00!0!1/80279
CBS 13 Portland HD	00!0!1/80280
CBS 13 Sacramento HD	00!0!1/80281
CBS 13 Tucson HD	00!0!1/80282
CBS 19 Cleveland HD	00!0!1/80283
CBS 2 Chicago HD	00!0!1/80284
CBS 2 Pittsburg HD	00!0!1/80286
CBS 11 Dallas HD	00!0!1/80287
CBS 3 Philadelphia HD	00!0!1/80288
CBS 38 Boston HD	00!0!1/80289
CBS 4 Buffalo HD	00!0!1/80290
CBS 4 Denver HD	00!0!1/80291
CBS 4 New Orleans HD	00!0!1/80292
CBS 4 St. Louis HD	00!0!1/80293
CBS 46 Atlanta HD	00!0!1/80294
CBS 47 Fresno HD	00!0!1/80295
CBS 5 Kansas City HD	00!0!1/80297
CBS 5 Nashville HD	00!0!1/80298
CBS 5 Phoenix HD	00!0!1/80299
CBS 5 San Antonio HD	00!0!1/80300
CBS 5 San Francisco HD	00!0!1/80301
CBS 58 Milwaukee HD	00!0!1/80302
CBS 6 Orlando HD	00!0!1/80303
CBS 6 Portland HD	00!0!1/80304
CBS 62 Detroit HD	00!0!1/80305
CBS 7 Seattle HD	00!0!1/80306
CBS 8 Las Vegas HD	00!0!1/80307
CBS 8 San Diego HD	00!0!1/80308
CBS 2 Los Angeles HD	00!0!1/80309
CBS 9 Washington HD	00!0!1/80310
NBC 10 Philadelphia PA HD	00!0!1/80311
NBC 11 Atlanta HD	00!0!1/80312
NBC 11 Minneapolis HD	00!0!1/80313
NBC 11 Pittsburgh HD	00!0!1/80314
NBC 11 San Francisco Bay Area HD	00!0!1/80315
NBC 12 Phoenix AZ HD	00!0!1/80316
NBC 2 Orlando HD	00!0!1/80317
NBC 3 Cleveland OH HD	00!0!1/80318
NBC 3 Sacramento CA HD	00!0!1/80319
NBC 4 Detroit HD	00!0!1/80320
NBC 4 Nashville TN HD	00!0!1/80321
NBC 41 Kansas City MO HD	00!0!1/80322
NBC 5 Chicago IL HD	00!0!1/80323
NBC 5 Cincinnati HD	00!0!1/80324
NBC 5 Dallas TX HD	00!0!1/80325
NBC 5 St. Louis MO HD	00!0!1/80327
NBC 6 New Orleans LA HD	00!0!1/80328
NBC Boston HD	00!0!1/80329
NBC 8 Portland HD	00!0!1/80330
FOX 13 Memphis HD	00!0!1/80331
CNBC HD	00!0!1/80332
NBC Houston	00!0!1/80333
CBS Houston	00!0!1/80334
CBS 4 Rock Island HD	00!0!1/80335
ABC 7 ALBUQUERQUE HD	00!0!1/80336
CBS 13 Albuquerque NM HD	00!0!1/80337
FOX 5 SAN DIEGO HD	00!0!1/80339
CBS 11 SAVANNAH GA HD	00!0!1/80340
CBS 12 WEST PALM BEACH HD	00!0!1/80342
CBS 12 WEST PALM BEACH SD	00!0!1/80343
CBS 10 Springfield HD	00!0!1/80344
CBS 3 Champaign HD	00!0!1/80345
NEWS 12 HUDSON VALLEY HD	00!0!1/80346
NEWS 12 WESTCHESTER HD	00!0!1/80348
NEWS 12 BRONX HD	00!0!1/80349
NEWS 12 BROOKLYN HD	00!0!1/80350
NEWS 12 CONNECTICUT UHD	00!0!1/80351
NEWS 12 LONG ISLAND UHD	00!0!1/80352
FOX 4 KANSAS CITY HD	00!0!1/80353
NBC 4 AMARILLO	00!0!1/80354
ABC 7 AMARILLO	00!0!1/80355
CBS 10 AMARILLO	00!0!1/80356
FOX 14 AMARILLO	00!0!1/80357
NBC 5 CHICAGO	00!0!1/80358
CW 26 CHICAGO	00!0!1/80359
NBC 4 NEW YORK	00!0!1/80360
FOX 5 NEW YORK	00!0!1/80361
ABC 7 NEW YORK	00!0!1/80362
MY9 NEW YORK	00!0!1/80363
PIX 11 NEW YORK	00!0!1/80364
PBS 13 NEW YORK	00!0!1/80365
WLNY 10/55 NEW YORK	00!0!1/80366
CBS 5 PHOENIX	00!0!1/80368
NBC 4 MILWAUKEE	00!0!1/80372
CBS 58 MILWAUKEE	00!0!1/80373
CBS 11 HOUSTON	00!0!1/80376
CBS 8 LAS VEGAS	00!0!1/80378
CW 33 LAS VEGAS	00!0!1/80379
NBC 11 ATLANTA	00!0!1/80380
CBS 46 ATLANTA	00!0!1/80381
CW 69 ATLANTA	00!0!1/80382
NBC 11 BALTIMORE	00!0!1/80383
CBS 10 TAMPA	00!0!1/80387
CBS 4 BOSTON	00!0!1/80389
ABC 5 BOSTON	00!0!1/80390
NBC 10 BOSTON	00!0!1/80391
FOX 25 BOSTON	00!0!1/80392
CW 56 BOSTON	00!0!1/80393
MY38 BOSTON	00!0!1/80394
CBS 3 PHILADELPHIA	00!0!1/80395
CW 57 PHILADELPHIA	00!0!1/80396
PBS PHILADELPHIA	00!0!1/80397
CBS 9 WASHINGTON DC	00!0!1/80398
CBS 4 DENVER	00!0!1/80401
FOX 31 DENVER	00!0!1/80402
NBC4 LOS ANGELES	00!0!1/80403
FOX 11 LOS ANGELES	00!0!1/80404
KCAL9 LOS ANGELES	00!0!1/80406
CBS 5 SAN FRANSCISCO	00!0!1/80409
PBS SAN FRANSCISCO	00!0!1/80411
NBC 5 DALLAS	00!0!1/80412
CBS 11 DALLAS	00!0!1/80413
CBS 3 CHARLOTTE	00!0!1/80416
FOX 46 CHARLOTTE	00!0!1/80417
FOX ALBUQUERQUE	00!0!1/80422
FOX 2 DETROIT	00!0!1/80423
CBS 62 DETROIT	00!0!1/80424
NBC 6 NEW ORLEANS	00!0!1/80427
CBS 4 NEW ORLEANS	00!0!1/80428
NBC 8 LANCASTER PA	00!0!1/80430
ABC 6 INDIANAPOLIS	00!0!1/80437
CBS 5 KANSAS CITY	00!0!1/80439
CBS 10 COLUMBUS OH	00!0!1/80442
CBS 5 NASHVILLE TN	00!0!1/80446
NBC 4 SAN ANTONIO	00!0!1/80449
CBS 5 SAN ANTONIO	00!0!1/80450
CBS 8 San Diego	00!0!1/80466
NBC 7 San Diego	00!0!1/80467
CBS 2 Pittsburgh	00!0!1/80468
NBC 3 Cleveland	00!0!1/80471
CBS 4 St. Louis	00!0!1/80476
NBC 5 St. Louis	00!0!1/80477
NBC 13 Albany	00!0!1/80478
FOX 13 Salt Lake City	00!0!1/80489
ABC 2 NASHVILLE TN	00!0!1/80498
FOX 35 ORLANDO	00!0!1/80499
NBC 2 ORLANDO	00!0!1/80500
FOX 19 CINCINNATI HD	00!0!1/80501
FOX 26 HOUSTON HD	00!0!1/80502
MyNet 20 Houston HD	00!0!1/80503
CBS 12 Chattanooga TN	00!0!1/80504
MEGA TV SD	00!0!1/80506
CBS 2 Reno NV SD	00!0!1/80508
NBC 4 RENO NV SD	00!0!1/80511
NBC 4 RENO HD	00!0!1/80512
NBC 7 RENO SD	00!0!1/80513
NEWSMAX TV HD	00!0!1/80514
Animal Planet HD	00!0!1/82461
BRAVO	00!0!1/83915
GOL TV SD	00!0!1/83947
Ecuavisa Sierra	00!0!1/84719
Ecuador TV SD	00!0!1/84725
RTS FHD	00!0!1/84732
RTS HD	00!0!1/84733
RTS SD	00!0!1/84734
TC Television HD	00!0!1/84736
Canal Uno HD	00!0!1/84741
Canal Uno SD	00!0!1/84742
Canela TV SD	00!0!1/84743
DIRECTV SPORTS+	00!0!1/86705
Cine Latino	00!0!1/86811
FOX DEPORTES	00!0!1/86812
Tennis Channel opc 2	00!0!1/86875
Star ACTION ʜᴅ	00!0!1/88808
WWE NETWORK HD	00!0!1/88809
MSG Plus HD	00!0!1/89164
MSG 2 HD	00!0!1/89165
MSG HD	00!0!1/89166
ESPN 3 HD	00!0!1/89173
ESPN DEPORTES FHD	00!0!1/89175
🇺🇸 ESPN HD	00!0!1/89176
ESPN HD	00!0!1/89177
ESPN News HD	00!0!1/89178
ESPN U HD	00!0!1/89191
HBO West HD	00!0!1/89193
HBO 2 FHD	00!0!1/89195
HBO COMEDY FHD	00!0!1/89196
HBO Family FHD	00!0!1/89197
HBO HD	00!0!1/89198
HBO SIGNATURE EAST FHD	00!0!1/89201
HBO Signature FHD	00!0!1/89202
HBO Zone FHD	00!0!1/89203
Bein Sports SD	00!0!1/89710
Bein Sports Laliga SD	00!0!1/89711
ESPN 2 HD Jornada La Liga	00!0!1/90551
LA LIGA TV BAR	00!0!1/90554
🇪🇸 MOVISTAR LA LIGA HD	00!0!1/90555
LALIGA HD	00!0!1/90556
SKY SPORTS La liga	00!0!1/90561
Sky Sports Main Event HD	00!0!1/90563
NBC Universo HD Latino	00!0!1/90568
ESPN 2 FHD Latino	00!0!1/90570
Telemundo Internacional HD Latino	00!0!1/90572
ESPN 1 FHD Latino	00!0!1/90573
Star Comedy	00!0!1/93471
CW 11 SEATTLE	00!0!1/94881
CW 69 ATLANTA	00!0!1/94882
CW 26 CHICAGO	00!0!1/94883
CW HD	00!0!1/94884
USA NETWORK	00!0!1/95003
COMEDY	00!0!1/95004
Fox LIFE	00!0!1/95005
LMN	00!0!1/95006
🇺🇸 SD: FOOD	00!0!1/95007
🇺🇸 SD:HGTV	00!0!1/95008
COOKING	00!0!1/95009
🇺🇸 SD: E!	00!0!1/95010
🇺🇸 SD:A&E	00!0!1/95011
🇺🇸 SD:FYI	00!0!1/95012
🇺🇸 SD: HISTORY	00!0!1/95013
🇺🇸 SD:VICE	00!0!1/95014
🇺🇸 SD:SYFY	00!0!1/95015
🇺🇸 SD: BET	00!0!1/95016
🇺🇸 SD: FXX	00!0!1/95017
🇺🇸 SD: BRAVO	00!0!1/95018
🇺🇸 SD: AMC	00!0!1/95019
FX	00!0!1/95020
TNT	00!0!1/95021
🇺🇸 SD: TBS	00!0!1/95022
CBSSN	00!0!1/95023
MTV	00!0!1/95024
🇺🇸 SD: VH1	00!0!1/95025
🇺🇸 SD: CMT	00!0!1/95026
🇺🇸 SD: AXS	00!0!1/95027
🇺🇸 SD: NICK	00!0!1/95028
🇺🇸 SD:DISNEY CHANNEL	00!0!1/95029
🇺🇸 SD: CarTOON network	00!0!1/95030
🇺🇸 SD:DISCOVERY FAMILY	00!0!1/95031
🇺🇸 SD: FRFM	00!0!1/95032
🇺🇸 SD:DISCOVERY CHANNEL	00!0!1/95033
🇺🇸 SD: TLC	00!0!1/95034
🇺🇸 SD:NATGEO	00!0!1/95036
🇺🇸 SD:OWN	00!0!1/95037
🇺🇸 SD:NATGeO WILD	00!0!1/95038
🇺🇸 SD: DISCOVERY ID	00!0!1/95039
DISCOVERY SCIENCE	00!0!1/95040
🇺🇸 SD:TRV	00!0!1/95041
🇺🇸 SD:Destination America	00!0!1/95042
🇺🇸 SD:CNN	00!0!1/95043
🇺🇸 SD:FOX NEWS	00!0!1/95044
🇺🇸 SD: FOX BUSINESS NETWORK	00!0!1/95045
CNBC	00!0!1/95046
WEATHER	00!0!1/95047
🇺🇸 SD:Paramount	00!0!1/95048
🇺🇸 SD:TRU	00!0!1/95049
🇺🇸 SD: 5-MAX	00!0!1/95050
🇺🇸 SD:SHOWTIME West	00!0!1/95051
🇺🇸 SD:STARZ West	00!0!1/95053
🇺🇸 SD: FX Movies	00!0!1/95054
🇺🇸 SD: Hallmark	00!0!1/95055
🇺🇸 SD:Hallmark Movies & Mysteries	00!0!1/95056
🇺🇸 SD: OUTDOOR	00!0!1/95057
🇺🇸 SD:abc NY	00!0!1/95058
